Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn,Calculated_Revenue
48828.0,2020-10-09 01:40:41,electronics,480,3,4312,cash,31,0.0,mary wilson,31,female,1,1440
3715.0,2020-05-01 08:14:07,electronics,74,1,4232,crypto,45,0.0,mrs. tonya rodriguez,45,male,0,74
37109.0,2020-04-03 05:28:17,home,449,2,992,cash,50,1.0,justin swanson,50,female,1,898
21706.0,2022-11-21 08:17:28,clothing,354,2,416,paypal,60,1.0,christopher archer,60,male,0,708
33693.0,2021-09-21 15:40:12,electronics,384,2,4525,cash,22,0.0,mariah scott,22,male,0,768
45452.0,2020-10-25 03:57:18,electronics,450,1,1958,crypto,47,0.0,jamie martinez,47,female,1,450
7795.0,2020-03-21 14:36:25,books,411,1,3281,cash,56,0.0,renee sanders,56,female,1,411
21963.0,2022-09-20 10:35:18,electronics,458,5,4140,paypal,39,0.0,christine kelley,39,female,1,2290
39813.0,2020-01-16 21:04:26,books,375,2,1114,paypal,60,0.0,stephanie barron,60,female,0,750
35130.0,2021-12-23 08:02:30,clothing,420,1,4008,credit card,65,1.0,kenneth waters,65,female,0,420
9406.0,2021-02-13 03:43:24,books,477,3,3160,paypal,40,0.0,norman johnson,40,male,0,1431
11975.0,2022-05-22 06:59:51,electronics,499,2,2451,paypal,35,1.0,anthony mcclain dds,35,male,0,998
20597.0,2021-08-14 00:26:58,clothing,70,1,4875,credit card,45,0.0,andrew lewis,45,male,1,70
41644.0,2020-07-27 05:29:48,books,338,3,3766,paypal,39,0.0,robert campbell,39,male,0,1014
39045.0,2021-08-07 01:26:38,clothing,289,4,2918,credit card,60,0.0,vincent miller,60,female,0,1156
3734.0,2022-01-16 03:30:01,clothing,221,2,4325,crypto,41,0.0,joshua long,41,male,0,442
8789.0,2022-10-23 13:56:08,home,394,1,4703,credit card,69,1.0,robert elliott,69,male,0,394
41161.0,2021-05-09 02:44:20,electronics,273,3,1780,cash,27,1.0,kenneth beck,27,female,0,819
41585.0,2021-01-09 10:00:28,electronics,206,2,987,paypal,55,0.0,mr. franklin rice,55,female,0,412
13482.0,2022-12-17 10:31:35,clothing,243,5,3065,paypal,66,1.0,jessica callahan,66,male,0,1215
46330.0,2021-01-07 07:22:20,books,57,4,1054,cash,59,0.0,mr. alexander dunn,59,female,0,228
48571.0,2023-02-27 06:30:04,clothing,65,1,3542,credit card,49,0.0,pamela turner,49,male,0,65
35973.0,2022-09-11 12:59:23,clothing,403,5,781,credit card,64,1.0,kathryn edwards,64,male,0,2015
45611.0,2020-07-14 10:06:58,electronics,36,2,1504,cash,60,0.0,mr. larry thompson,60,male,1,72
34554.0,2023-06-22 02:15:17,clothing,166,3,4917,credit card,64,0.0,amy herman,64,female,0,498
29897.0,2020-08-19 09:15:31,clothing,51,1,3877,credit card,67,0.0,timothy keller,67,male,1,51
3651.0,2021-12-14 13:33:44,electronics,75,4,1167,paypal,49,1.0,brittany hensley,49,female,0,300
29115.0,2020-11-14 22:44:05,electronics,29,4,3231,credit card,31,1.0,nancy howard,31,female,0,116
8736.0,2020-05-05 16:18:24,clothing,353,4,1417,paypal,65,1.0,teresa haley,65,female,1,1412
48032.0,2021-11-19 19:43:41,books,245,4,588,credit card,39,0.0,alexis oneill,39,male,1,980
7658.0,2021-10-31 00:13:02,clothing,129,2,3427,credit card,18,0.0,craig garner dds,18,male,0,258
28868.0,2023-05-19 00:08:21,clothing,484,2,1584,paypal,26,0.0,daniel dixon,26,female,0,968
1236.0,2020-05-02 17:42:25,books,386,3,3397,paypal,47,0.0,kevin escobar,47,female,0,1158
8337.0,2023-08-15 08:23:46,clothing,330,3,3913,paypal,67,0.0,caitlin cooper,67,male,0,990
25606.0,2021-07-05 18:04:38,books,27,2,4960,paypal,46,1.0,kevin nelson,46,female,0,54
26143.0,2020-01-18 20:22:23,books,59,4,2239,cash,25,0.0,joanne hernandez,25,male,0,236
1401.0,2020-03-11 04:26:07,clothing,462,3,3516,paypal,46,1.0,robert diaz,46,male,0,1386
19413.0,2023-05-04 19:22:11,home,154,1,3289,paypal,31,0.0,michelle carlson,31,female,0,154
27222.0,2021-01-12 06:00:15,clothing,484,5,184,paypal,33,0.0,jessica torres,33,male,0,2420
39203.0,2020-01-17 15:12:31,home,295,1,3925,paypal,25,0.0,julian kaiser,25,male,0,295
48806.0,2022-04-23 07:46:56,home,405,3,4520,paypal,67,0.0,mrs. courtney rowland md,67,male,0,1215
21445.0,2023-07-13 23:59:30,home,99,5,4765,credit card,52,0.0,alisha walker,52,female,0,495
11114.0,2022-04-18 13:46:18,electronics,395,4,1929,credit card,47,0.0,melinda blackburn,47,female,1,1580
23829.0,2021-02-26 07:07:45,electronics,179,2,3820,cash,67,0.0,nancy lee,67,male,0,358
3001.0,2022-10-06 15:30:21,home,309,2,4036,credit card,64,0.0,christopher parks,64,male,0,618
49360.0,2022-04-14 18:56:21,electronics,169,2,3668,cash,68,0.0,maria cole,68,female,0,338
20247.0,2020-03-11 06:55:34,electronics,406,3,5058,credit card,57,1.0,dennis nichols,57,male,1,1218
33778.0,2020-07-15 10:36:59,books,362,5,3919,crypto,38,0.0,bonnie mejia,38,male,0,1810
10049.0,2023-07-27 18:45:05,clothing,429,4,3911,cash,68,0.0,laura adams,68,female,0,1716
19487.0,2022-05-02 05:13:39,home,81,5,1040,cash,41,0.0,jonathan davis,41,male,0,405
30156.0,2023-05-25 20:28:29,books,314,5,423,credit card,57,0.0,wayne nash,57,male,0,1570
42781.0,2021-08-24 11:14:50,electronics,274,5,3643,credit card,18,1.0,david finley,18,male,0,1370
9187.0,2021-01-06 16:38:26,clothing,372,1,3808,cash,38,0.0,mrs. christine gutierrez md,38,female,1,372
2392.0,2021-01-05 06:02:13,books,210,1,492,paypal,52,1.0,teresa smith,52,male,0,210
13285.0,2021-10-31 13:51:49,books,134,5,5061,credit card,44,0.0,anita valdez,44,male,1,670
2994.0,2023-07-04 08:01:54,books,350,2,3310,credit card,66,1.0,sabrina peterson,66,female,0,700
